open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
4080.3877,4106.2969,4075.5836,4103.45,178851999,000300.SH,2025-08-05,NA,NA,CNY
4100.4283,4116.7085,4098.3544,4113.4852,176676155,000300.SH,2025-08-06,NA,NA,CNY
4120.2822,4129.7382,4094.8214,4114.666,198641902,000300.SH,2025-08-07,NA,NA,CNY
4109.2734,4122.2104,4097.4157,4104.9669,173171201,000300.SH,2025-08-08,NA,NA,CNY
4110.2939,4134.2462,4103.605,4122.5106,190443716,000300.SH,2025-08-11,NA,NA,CNY
4123.5762,4153.2948,4121.2243,4143.8252,177287823,000300.SH,2025-08-12,NA,NA,CNY
4150.5037,4186.748,4147.1991,4176.5776,213934999,000300.SH,2025-08-13,NA,NA,CNY
4179.965,4220.3109,4165.9376,4173.3131,221103595,000300.SH,2025-08-14,NA,NA,CNY
4162.4205,4214.7291,4157.495,4202.3533,261327566,000300.SH,2025-08-15,NA,NA,CNY
4218.2471,4272.9602,4203.4191,4239.4125,301479102,000300.SH,2025-08-18,NA,NA,CNY
4241.7651,4264.2303,4215.2075,4223.3741,250818771,000300.SH,2025-08-19,NA,NA,CNY
4208.4005,4272.1463,4190.5559,4271.3958,246481773,000300.SH,2025-08-20,NA,NA,CNY
4284.3712,4308.4472,4273.6523,4288.0707,259030014,000300.SH,2025-08-21,NA,NA,CNY
4287.3633,4378.3881,4287.3633,4377.9977,290434897,000300.SH,2025-08-22,NA,NA,CNY
4416.2924,4472.6525,4404.7761,4469.2217,358090006,000300.SH,2025-08-25,NA,NA,CNY
4453.3526,4476.803,4435.5275,4452.5905,270621395,000300.SH,2025-08-26,NA,NA,CNY
4458.8399,4494.9126,4386.1266,4386.1266,333133898,000300.SH,2025-08-27,NA,NA,CNY
4378.0351,4464.8028,4364.171,4463.782,296834536,000300.SH,2025-08-28,NA,NA,CNY
4455.8034,4516.8395,4452.3632,4496.7591,351938947,000300.SH,2025-08-29,NA,NA,CNY
4516.8787,4528.1342,4487.5304,4523.7111,320366708,000300.SH,2025-09-01,NA,NA,CNY
4521.9828,4548.8937,4454.4169,4490.4528,303932566,000300.SH,2025-09-02,NA,NA,CNY
4501.3388,4510.7303,4427.5176,4459.8296,254320217,000300.SH,2025-09-03,NA,NA,CNY
4461.2503,4465.4967,4327.5068,4365.2085,307934609,000300.SH,2025-09-04,NA,NA,CNY
4365.6083,4466.5603,4350.2974,4460.3249,249625657,000300.SH,2025-09-05,NA,NA,CNY
4467.1693,4482.763,4438.0698,4467.5733,267638382,000300.SH,2025-09-08,NA,NA,CNY
4448.739,4472.093,4412.6914,4436.2584,221375460,000300.SH,2025-09-09,NA,NA,CNY
4438.2998,4466.6325,4414.5937,4445.3649,203597646,000300.SH,2025-09-10,NA,NA,CNY
4438.839,4548.0345,4427.9242,4548.0345,253264051,000300.SH,2025-09-11,NA,NA,CNY
4544.5905,4564.6665,4517.7897,4521.998,266442003,000300.SH,2025-09-12,NA,NA,CNY
4534.8866,4566.9053,4522.4958,4533.0557,231885678,000300.SH,2025-09-15,NA,NA,CNY
4539.9217,4552.419,4494.7875,4523.3367,249269206,000300.SH,2025-09-16,NA,NA,CNY
4517.2855,4556.0296,4503.7959,4551.023,235716472,000300.SH,2025-09-17,NA,NA,CNY
4546.0319,4573.8331,4454.9886,4498.109,309859826,000300.SH,2025-09-18,NA,NA,CNY
4499.0906,4533.0919,4491.8437,4501.9195,225044000,000300.SH,2025-09-19,NA,NA,CNY
4512.0251,4523.8695,4487.1299,4522.608,196459956,000300.SH,2025-09-22,NA,NA,CNY
4536.7569,4560.7319,4459.7281,4519.7781,252827062,000300.SH,2025-09-23,NA,NA,CNY
4495.2659,4567.4948,4494.1133,4566.0708,220482608,000300.SH,2025-09-24,NA,NA,CNY
4563.9827,4613.9486,4558.8424,4593.4875,229823333,000300.SH,2025-09-25,NA,NA,CNY
4576.9142,4597.8472,4550.0487,4550.0487,208482114,000300.SH,2025-09-26,NA,NA,CNY
4555.0342,4647.5691,4541.4252,4620.0528,274358877,000300.SH,2025-09-29,NA,NA,CNY
4629.8987,4647.5031,4616.2243,4640.6935,247980359,000300.SH,2025-09-30,NA,NA,CNY
4662.1133,4726.3449,4651.9895,4709.482,347678696,000300.SH,2025-10-09,NA,NA,CNY
4679.4983,4692.5858,4600.9646,4616.8341,319020899,000300.SH,2025-10-10,NA,NA,CNY
4490.8661,4601.8072,4490.8661,4593.9785,315010354,000300.SH,2025-10-13,NA,NA,CNY
4634.0543,4641.4492,4520.9258,4539.0644,372954030,000300.SH,2025-10-14,NA,NA,CNY
4544.2431,4608.8239,4526.834,4606.2879,284771855,000300.SH,2025-10-15,NA,NA,CNY
4588.9206,4645.0959,4586.2801,4618.4218,248235518,000300.SH,2025-10-16,NA,NA,CNY
4610.6967,4618.5621,4509.3289,4514.2345,256905617,000300.SH,2025-10-17,NA,NA,CNY
4558.2421,4570.4376,4520.5024,4538.2201,218420405,000300.SH,2025-10-20,NA,NA,CNY
4556.1224,4615.463,4547.9283,4607.8715,215711175,000300.SH,2025-10-21,NA,NA,CNY
4576.0277,4603.4884,4567.2361,4592.57,185333960,000300.SH,2025-10-22,NA,NA,CNY
4578.7018,4611.3409,4541.6944,4606.3447,200463917,000300.SH,2025-10-23,NA,NA,CNY
4622.7873,4660.6835,4622.7873,4660.6835,208814483,000300.SH,2025-10-24,NA,NA,CNY
4699.3819,4720.4288,4687.6876,4716.0186,262200674,000300.SH,2025-10-27,NA,NA,CNY
4697.7277,4734.3218,4679.2288,4691.973,220906645,000300.SH,2025-10-28,NA,NA,CNY
4701.0362,4747.8378,4697.268,4747.8378,246211324,000300.SH,2025-10-29,NA,NA,CNY
4735.9807,4761.8339,4706.452,4709.911,273289118,000300.SH,2025-10-30,NA,NA,CNY
4702.4946,4706.1395,4640.6676,4640.6676,281464740,000300.SH,2025-10-31,NA,NA,CNY
4636.7323,4653.4028,4595.7339,4653.4028,239869809,000300.SH,2025-11-03,NA,NA,CNY
4649.3481,4665.323,4595.066,4618.699,233224032,000300.SH,2025-11-04,NA,NA,CNY
4562.1117,4642.6101,4558.7647,4627.257,203045871,000300.SH,2025-11-05,NA,NA,CNY
4642.0112,4698.0935,4642.0112,4693.4032,224241008,000300.SH,2025-11-06,NA,NA,CNY
4673.7616,4701.3743,4666.0405,4678.7944,212497377,000300.SH,2025-11-07,NA,NA,CNY
4688.124,4695.1794,4654.2103,4695.0507,236026764,000300.SH,2025-11-10,NA,NA,CNY
4706.3374,4707.1275,4648.4896,4652.1655,186638858,000300.SH,2025-11-11,NA,NA,CNY
4643.5592,4669.6073,4620.9897,4645.9079,209460592,000300.SH,2025-11-12,NA,NA,CNY
